2024-02-28 17:24:15.220312: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-02-28 17:24:15.407582: I tensorflow/core/util/port.cc:104] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-02-28 17:24:17.674128: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /hpc2ssd/softwares/cuda/cuda-12.0/lib64:/opt/slurm/lib
2024-02-28 17:24:17.674338: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /hpc2ssd/softwares/cuda/cuda-12.0/lib64:/opt/slurm/lib
2024-02-28 17:24:17.674381: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
/hpc2hdd/home/xhao390/.local/lib/python3.7/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /hpc2hdd/home/xhao390/.local/lib/python3.7/site-packages/torchvision/image.so: undefined symbol: _ZN2at4_ops19empty_memory_format4callEN3c108ArrayRefIlEENS2_8optionalINS2_10ScalarTypeEEENS5_INS2_6LayoutEEENS5_INS2_6DeviceEEENS5_IbEENS5_INS2_12MemoryFormatEEE
  warn(f"Failed to load image Python extension: {e}")
2024-02-28 17:24:27,964 Loading vectors from .vector_cache/glove.840B.300d.txt.pt
2024-02-28 17:24:34,424 Epoch [0][0/172]	Time 2.807	Loss 3998.4453	
2024-02-28 17:24:38,761 Epoch [0][10/172]	Time 0.462	Loss 3683.4558	
2024-02-28 17:24:42,928 Epoch [0][20/172]	Time 0.402	Loss 3220.985	
2024-02-28 17:24:46,979 Epoch [0][30/172]	Time 0.402	Loss 2469.7847	
2024-02-28 17:24:50,927 Epoch [0][40/172]	Time 0.392	Loss 2122.13	
2024-02-28 17:24:54,914 Epoch [0][50/172]	Time 0.399	Loss 1942.4348	
2024-02-28 17:24:58,935 Epoch [0][60/172]	Time 0.405	Loss 1611.6084	
2024-02-28 17:25:02,983 Epoch [0][70/172]	Time 0.384	Loss 1379.3562	
2024-02-28 17:25:06,998 Epoch [0][80/172]	Time 0.395	Loss 1418.0267	
2024-02-28 17:25:11,236 Epoch [0][90/172]	Time 0.432	Loss 1173.1842	
2024-02-28 17:25:15,419 Epoch [0][100/172]	Time 0.430	Loss 1193.5938	
2024-02-28 17:25:19,557 Epoch [0][110/172]	Time 0.455	Loss 1145.2349	
2024-02-28 17:25:23,826 Epoch [0][120/172]	Time 0.396	Loss 946.3744	
2024-02-28 17:25:27,947 Epoch [0][130/172]	Time 0.387	Loss 1145.3523	
2024-02-28 17:25:32,166 Epoch [0][140/172]	Time 0.465	Loss 921.59595	
2024-02-28 17:25:36,326 Epoch [0][150/172]	Time 0.400	Loss 782.7702	
2024-02-28 17:25:40,410 Epoch [0][160/172]	Time 0.391	Loss 1181.8463	
2024-02-28 17:25:44,625 Epoch [0][170/172]	Time 0.397	Loss 811.6699	
2024-02-28 17:26:10,115 Epoch [1][0/172]	Time 0.390	Loss 885.6096	
2024-02-28 17:26:13,987 Epoch [1][10/172]	Time 0.387	Loss 935.7381	
2024-02-28 17:26:17,849 Epoch [1][20/172]	Time 0.387	Loss 929.4287	
2024-02-28 17:26:21,603 Epoch [1][30/172]	Time 0.367	Loss 890.431	
2024-02-28 17:26:25,487 Epoch [1][40/172]	Time 0.383	Loss 827.32227	
2024-02-28 17:26:29,404 Epoch [1][50/172]	Time 0.398	Loss 875.692	
